iter	Logloss
269	0.4508415045
270	0.4508382794
271	0.4507669605
272	0.4507295735
273	0.4506506383
274	0.4505986401
275	0.4505044588
276	0.450501205
277	0.4504637554
278	0.4502527308
279	0.4502157637
280	0.4501965705
281	0.450147519
282	0.4501247919
283	0.4499524884
284	0.4498999927
285	0.4498353003
286	0.4497969955
287	0.4497781051
288	0.4497257359
289	0.4496821425
290	0.4496503288
291	0.4496491102
292	0.449586996
293	0.4495459955
294	0.4495051509
295	0.4495048091
296	0.4494877851
297	0.4494876883
298	0.4494815437
299	0.4494465489
300	0.4494461773
301	0.4494458527
302	0.4494339596
303	0.4493897682
304	0.449385184
305	0.4493683149
306	0.4493400456
307	0.4493358449
308	0.4493335541
309	0.4492337169
310	0.449233673
311	0.4492238456
312	0.4492161029
313	0.4492072253
314	0.4492017757
315	0.449192682
316	0.4491092967
317	0.4491086161
318	0.4491080741
319	0.4490971217
320	0.4490971042
321	0.4490147361
322	0.4488421818
323	0.4488405413
324	0.4487478869
325	0.4487362031
326	0.4487170902
327	0.4487162841
328	0.4486769799
329	0.4486754107
330	0.4486234532
331	0.4486169669
332	0.4486166169
333	0.4486030736
334	0.448591509
335	0.4485888777
336	0.4485885688
337	0.4485868744
338	0.4485571239
339	0.4485097065
340	0.4485086243
341	0.4485058639
342	0.4484924619
343	0.448465577
344	0.4484652532
345	0.4484645649
346	0.4483955057
347	0.4483950763
348	0.4483832039
349	0.4483831947
350	0.4483786411
351	0.4483781069
352	0.4483779157
353	0.4483656165
354	0.448360796
355	0.4483564203
356	0.4483527666
357	0.4483143252
358	0.4482816275
359	0.4481157366
360	0.4481152928
361	0.4481150167
362	0.4480952154
363	0.4480809917
364	0.4480718787
365	0.4480717471
366	0.4480714294
367	0.4480546441
368	0.4480539278
369	0.4480289308
370	0.4480277584
371	0.4480269819
372	0.448026237
373	0.4480111907
374	0.4479453898
375	0.4478867556
376	0.4478867069
377	0.4478865318
378	0.4478597547
379	0.4478146271
380	0.4477962376
381	0.4477921599
382	0.447790154
383	0.4477893231
384	0.4477890934
385	0.4477794954
386	0.4477675114
387	0.4477666818
388	0.4477662864
389	0.4477540728
390	0.4477505277
391	0.4477187666
392	0.4477147976
393	0.4477110137
394	0.4477098179
395	0.4477092338
396	0.4477091525
397	0.4476331851
398	0.4476321319
399	0.447616667
400	0.4475908463
401	0.4475829733
402	0.4475670029
403	0.4475665534
404	0.4475139453
405	0.4475056419
406	0.447505144
407	0.4474883515
408	0.4474883132
409	0.447488248
410	0.4474854129
411	0.4474854049
412	0.4474835035
413	0.4474779932
414	0.4474775436
415	0.4474629
416	0.4474474981
417	0.4474469023
418	0.4474451367
419	0.4474451115
420	0.4474204199
421	0.4473905604
422	0.4473903563
423	0.4473655929
424	0.4473567036
425	0.4473555691
426	0.4473133822
427	0.4471555256
428	0.4470112854
429	0.4470047917
430	0.4470045899
431	0.4470040752
432	0.4470033999
433	0.4469837164
434	0.4469832877
435	0.4469826995
436	0.4469642246
437	0.4469565313
438	0.446938849
439	0.4469359772
440	0.4469356288
441	0.4469333389
442	0.4469272862
443	0.4468666072
444	0.4468642685
445	0.4468636116
446	0.446862464
447	0.446859844
448	0.4468598328
449	0.4468594437
450	0.446800009
451	0.4467182936
452	0.446709863
453	0.4466572105
454	0.4465832091
455	0.4465829693
456	0.446582867
457	0.4465827884
458	0.4465827443
459	0.446582203
460	0.4465810482
461	0.4465775105
462	0.4465772479
463	0.4465183985
464	0.4465183728
465	0.4465176099
466	0.4464803318
467	0.446480226
468	0.4464568548
469	0.4464542962
470	0.446453949
471	0.4464534244
472	0.4463068499
473	0.4463065214
474	0.4463059753
475	0.4463043945
476	0.4463042351
477	0.4461451374
478	0.4461425418
479	0.4461317196
480	0.4461313375
481	0.4461313048
