iter	Logloss
0	0.6790437636
1	0.6662825925
2	0.6541588406
3	0.6432615569
4	0.6340704032
5	0.623805044
6	0.61466931
7	0.6058783579
8	0.5981236339
9	0.589878706
10	0.5827779117
11	0.5767939843
12	0.5707370032
13	0.5645930657
14	0.5593474221
15	0.5539200497
16	0.54872195
17	0.5446931251
18	0.5411552514
19	0.5369267993
20	0.5325196136
21	0.5291354347
22	0.5259384777
23	0.5227050753
24	0.5196852463
25	0.5177483057
26	0.5149240374
27	0.5126647797
28	0.5103473108
29	0.5078166476
30	0.505650281
31	0.5034786681
32	0.5018300076
33	0.499864558
34	0.4982458078
35	0.4968232119
36	0.4954267146
37	0.4938920628
38	0.492555205
39	0.4913344289
40	0.4897665047
41	0.4886196346
42	0.4875919822
43	0.4867143906
44	0.4861902393
45	0.4853792255
46	0.4848361247
47	0.4837844132
48	0.4827314266
49	0.4820551954
50	0.4815881578
51	0.4807813141
52	0.4798856414
53	0.4794246119
54	0.4789177665
55	0.4783963864
56	0.4780151992
57	0.4771848627
58	0.4767312509
59	0.4762500443
60	0.4757211213
61	0.4755087435
62	0.4751367045
63	0.4747827025
64	0.4745813121
65	0.4743848073
66	0.4740507595
67	0.4735369181
68	0.4732657623
69	0.4728509728
70	0.4724479107
71	0.4723333851
72	0.4721054964
73	0.4719863662
74	0.471760594
75	0.471510585
76	0.471205668
77	0.4706849858
78	0.4703567095
79	0.4700654407
80	0.4699879286
81	0.4694347446
82	0.4693058951
83	0.4691690006
84	0.4688232063
85	0.4684902613
86	0.4683680829
87	0.468144358
88	0.467442311
89	0.4673780702
90	0.4671411061
91	0.4669026734
92	0.4666418168
93	0.4664685973
94	0.4662199848
95	0.4661201215
96	0.4660689804
97	0.4660139267
98	0.465997791
99	0.4658410772
100	0.4657708293
101	0.4656257119
102	0.4655481092
103	0.4655132571
104	0.4654234844
105	0.4652158986
106	0.4650468386
107	0.4648361218
108	0.4647237795
109	0.4646960389
110	0.4643594221
111	0.4643497186
112	0.4642242356
113	0.4641716611
114	0.4641642185
115	0.4641197469
116	0.4640969938
117	0.4640243868
118	0.4639026541
119	0.4638563539
120	0.4637718196
121	0.4633461692
122	0.4630765381
123	0.4630717273
124	0.4630339382
125	0.4628424954
126	0.4628382009
127	0.4628200584
128	0.4626615297
129	0.4626602733
130	0.4626418802
131	0.4624396563
132	0.4623959601
133	0.4621183923
134	0.4619677389
135	0.4619051722
136	0.4618904378
137	0.4618524138
138	0.4618356665
139	0.4616817498
140	0.4616375014
141	0.461383689
142	0.461220337
143	0.461082526
144	0.4610800913
145	0.4609966302
146	0.4609794205
147	0.4608379351
148	0.4607710437
149	0.460724993
150	0.4606950304
151	0.4606432444
152	0.4605053821
153	0.460472766
154	0.4602755425
155	0.4602402496
156	0.4601083469
157	0.4600705433
158	0.459851508
159	0.4598109452
160	0.4596477059
161	0.4596354904
162	0.4596093904
163	0.4593653518
164	0.4593413109
165	0.4593314422
166	0.4593217873
167	0.4591663605
168	0.4591630257
169	0.4590738977
170	0.4589806976
171	0.4589791939
172	0.458926748
173	0.4588391792
174	0.4588340916
175	0.4588222983
176	0.4586505787
177	0.4586307489
178	0.4585945119
179	0.4585647419
180	0.45844462
181	0.4584126387
182	0.4579193547
183	0.457866709
184	0.457865423
185	0.4577282259
186	0.4575923837
187	0.4572105911
188	0.4568231753
189	0.4567921885
190	0.4567762662
191	0.4565933292
192	0.4561273271
193	0.4559027688
194	0.4559018914
195	0.4556558176
196	0.455634552
197	0.45561648
198	0.4556156504
199	0.4555560716
200	0.4555157508
201	0.455344834
202	0.4552354751
203	0.4549923822
204	0.4549916817
205	0.4549336612
206	0.4548962396
207	0.454614917
208	0.4544837758
209	0.45430058
210	0.4541592137
211	0.4541491307
212	0.454000929
213	0.4539859055
214	0.4538762881
215	0.4538541376
216	0.4538531703
217	0.453756877
218	0.4537281716
219	0.453656968
220	0.4536529431
221	0.4536246938
222	0.4535818473
223	0.4534057112
224	0.4534050329
225	0.4533850928
226	0.453246175
227	0.4527874085
228	0.4526761783
229	0.4526582771
230	0.45257578
231	0.4525156896
232	0.4523870716
233	0.4523801126
234	0.4523522494
235	0.4522924585
236	0.4522805923
237	0.4522794936
238	0.4522227867
239	0.4521442731
240	0.4521420697
241	0.4521212881
242	0.4520406109
243	0.4520056985
244	0.4520052055
245	0.4520032567
246	0.4520019468
247	0.451908404
248	0.4518456762
249	0.4517856416
250	0.4517159598
251	0.4517154375
252	0.4516883923
253	0.4516729127
254	0.4516499273
255	0.4515679626
256	0.4514462719
257	0.4513840017
258	0.4512826804
259	0.4512822399
260	0.4511318466
261	0.4510502011
262	0.4510273562
263	0.4510273377
264	0.4510005189
265	0.4509301696
266	0.4509257107
267	0.4509136142
268	0.4509014689
